wlobscd,agcnm,obsnm,addr,etcaddr,lon,lat,gdt,attwl,wrnwl,almwl,srswl,pfh,fstnyn,links,시도명
1007625,환경부,여주시(남한강교),경기도 여주시,우만동 (구)남한강교,127.68111111111112,37.254444444444445,36.292,6,6.5,8.5,10.3,10.32,N,[],경기도
1007633,환경부,강천보(상류),경기도,여주시 단현동 47-3,127.68333333333334,37.27305555555555,0,38.5,42.5,43.5,45.1,45.11,N,[],경기도
1007635,환경부,여주시(여주대교),경기도 여주시,상동 여주대교,127.64777777777779,37.296388888888885,32.529,3.3,6,8,9.2,9.19,Y,[],경기도
1007639,환경부,여주보(상류),경기도,여주시 대신면 천남리 680,127.61555555555555,37.32611111111112,0,33.5,37,38.5,39.7,39.7,N,[],경기도
1007640,환경부,여주시(율극교),경기도 여주시,흥천면 율극리 율극교,127.57333333333332,37.33388888888889,32.057,3.5,4.5,5.5,7.2,7.19,N,[],경기도
1007645,환경부,이천시(복하교),경기도 이천시,부발읍 신하리 복하교,127.46083333333334,37.26694444444444,46.418,2.5,3,3.5,4.3,4.29,N,[],경기도
1007650,환경부,여주시(흥천대교),경기도 여주시,흥천면 다대리 흥천대교,127.53527777777778,37.33305555555556,35.555,2,3.5,4.5,5.4,5.4,Y,[],경기도
1007655,환경부,여주시(양촌교),경기도 여주시,대신면 초현리 양촌교,127.56277777777777,37.3825,30.136,3.5,4.5,5.5,7,6.96,N,[],경기도
1007660,환경부,여주시(이포대교),경기도 여주시,금사면 이포리 이포대교,127.5375,37.401111111111106,26.105,3.5,6.5,8.5,10.3, ,N,[],경기도
1007662,환경부,이포보(상류),경기도,여주시 금사면 이포리 이포대교,127.53777777777778,37.401111111111106,0,28.5,33,34.5,36.4,36.39,N,[],경기도
1007680,환경부,양평군(흑천교),경기도 양평군,개군면 공세리 흑천교,127.5275,37.46611111111111,32.286,2,3,3.5,4.6,4.57,N,[],경기도
