,wlobscd,agcnm,obsnm,addr,etcaddr,lon,lat,gdt,attwl,wrnwl,almwl,srswl,pfh,fstnyn,links
82,1005620,한국수자원공사,충주시(충주조정지댐방수로),충청북도 충주시,가금면 월상리,127-51-57,37-02-46 , , , , , , ,N,[]
83,1005635,한국수자원공사,충주시(충주조정지댐),충청북도 충주시,가금면 월상리,127-51-59,37-02-40 , , , , , , ,N,[]
84,1005640,환경부,충주시(목계교),충청북도 충주시,엄정면 목계리 목계교,127-52-52,37-04-34 ,52.337,3,5.5,7,9.1,9.07,N,[]
85,1005695,환경부,원주시(법천교),강원도 원주시,부론면 법천리 법천교,127-45-15,37-12-16 ,43.84,3.5,4.5,5.5,8.4,8.39,N,[]
86,1005697,환경부,원주시(남한강대교),강원도 원주시,부론면 법천리 남한강대교,127-44-52,37-12-22 ,39.676,4,7,9,11.4,11.43,N,[]
87,1006610,한국수자원공사,횡성군(율동리),강원도 횡성군,갑천면 매일리 799,128-06-31,37-33-25 ,186.458, , , , , ,N,[]
88,1006612,한국수자원공사,횡성군(포동2교),강원도 횡성군 갑천면,포동리 포동2교,128-05-55,37-33-09 ,176.592, , , , , ,N,[]
89,1006615,한국수자원공사,횡성군(횡성댐),강원도 횡성군,갑천면 대관대리 천72-6,128-01-49,37-32-43 , , , , , , ,N,[]
90,1006630,환경부,횡성군(오산교),강원도 횡성군 공근면,오산리 오산교,127-59-29,37-31-15 ,118.391,4,5,6,6.9,6.95,N,[]
91,1006650,환경부,횡성군(횡성교),강원도 횡성군,횡성읍 읍하리 횡성교,127-58-50,37-29-42 ,107.053,1.5,3.5,4.5,5.3,5.31,N,[]
92,1006660,환경부,횡성군(전천교),강원도 횡성군,횡성읍 교항리 전천교,127-58-53,37-28-56 ,107.876,2,3.5,4.5,5.9,5.86,N,[]
93,1006665,환경부,원주시(원주교),강원도 원주시,봉산동 원주교,127-57-20,37-20-52 ,120.223,1,2.5,3,4,3.97,N,[]
94,1006667,한국수자원공사,섬강교,강원도 원주시 소초면,의관리 488-1,127-57-49,37-25-29 , , , , , , ,N,[]
95,1006670,환경부,원주시(옥산교),강원도 원주시,호저면 옥산리 옥산교,127-55-18,37-25-43 ,80.576,2.5,6,7.5,9.4,9.39,N,[]
96,1006672,환경부,원주시(장현교),강원도 원주시,호저면 신현리 장현교,127-53-53,37-25-13 ,77.58,5,6,7.5,8.9,8.9,N,[]
97,1006680,환경부,원주시(지정대교),강원도 원주시,지정면 간현리 지정대교,127-49-54,37-21-42 ,59.492,4.5,5.5,6.5,7.4,7.42,N,[]
98,1006690,환경부,원주시(문막교),강원도 원주시,문막읍 문막리 문막교,127-48-37,37-18-18 ,50.72,4.2,4.5,5.5,6.7,6.69,Y,[]
99,1006693,한국농어촌공사,궁촌,강원도 원주시 귀래면,귀래리 1425-1,127-51-29,37-13-36 , , , , , , ,N,[]
100,1006694,한국농어촌공사,반계,강원도 원주시 문막읍,반계리 산78,127-46-38,37-17-30 , , , , , , ,N,[]
101,1007604,환경부,안성시(한평교),경기도 안성시 일죽면,고은리 한평교,127-26-01,37-06-23 ,76.169,5,6,7,8.7,8.65,N,[]
102,1007605,환경부,이천시(장호원교),경기도 이천시,장호원읍 장호원리 장호원교,127-38-05,37-06-49 ,56.683,2,4,5,5.6,5.6,N,[]
103,1007610,환경부,음성군(총천교),충청북도 음성군,감곡면 원당리 총천교,127-36-16,37-04-15 ,72.986, , , , ,4.27,N,[]
104,1007615,환경부,여주시(원부교),경기도 여주시,점동면 원부리 원부교,127-38-04,37-09-44 ,50.945,4,5.5,6.5,7.6,8.69,Y,[]
105,1007617,환경부,여주시(삼합교),경기도 여주시,점동면 삼합리 삼합교,127-43-09,37-12-08 ,42.076,3.5,5.5,7,8.3,8.26,N,[]
106,1007620,환경부,여주시(강천리),경기도 여주시,강천면 강천리 546-1,127-42-50,37-13-52 ,38.4,5,6,8,9.9,9.92,N,[]
107,1007625,환경부,여주시(남한강교),경기도 여주시,우만동 (구)남한강교,127-40-52,37-15-16 ,36.292,6,6.5,8.5,10.3,10.32,N,[]
108,1007630,한국수력원자력,남한강,경기도 여주군,강천면 이호리,127-41-12,37-10-59 , , , , , , ,N,[]
109,1007633,환경부,강천보(상류),경기도,여주시 단현동 47-3,127-41-00,37-16-23 ,0,38.5,42.5,43.5,45.1,45.11,N,[]
110,1007634,환경부,강천보(하류),경기도 여주군 강천면,이호리 523-2,127-41-05,37-17-02 ,0, , , , ,44.25,N,[]
111,1007635,환경부,여주시(여주대교),경기도 여주시,상동 여주대교,127-38-52,37-17-47 ,32.529,3.3,6,8,9.2,9.19,Y,[]
112,1007639,환경부,여주보(상류),경기도,여주시 대신면 천남리 680,127-36-56,37-19-34 ,0,33.5,37,38.5,39.7,39.7,N,[]
113,1007640,환경부,여주시(율극교),경기도 여주시,흥천면 율극리 율극교,127-34-24,37-20-02 ,32.057,3.5,4.5,5.5,7.2,7.19,N,[]
114,1007641,환경부,여주보(하류),경기도,여주시 능서면 왕대리 1008,127-36-12,37-19-43 ,0, , , , ,39.2,N,[]
115,1007642,환경부,이천시(동산교),경기도 이천시 호법면,주박리 522번지,127-24-58,37-12-60 ,58.99, , , , , ,N,[]
116,1007645,환경부,이천시(복하교),경기도 이천시,부발읍 신하리 복하교,127-27-39,37-16-01 ,46.418,2.5,3,3.5,4.3,4.29,N,[]
117,1007649,한국수력원자력,흑천,경기도 양평군,양평읍 원덕리,127-32-35,37-27-51 , , , , , , ,N,[]
118,1007650,환경부,여주시(흥천대교),경기도 여주시,흥천면 다대리 흥천대교,127-32-07,37-19-59 ,35.555,2,3.5,4.5,5.4,5.4,Y,[]
119,1007653,한국농어촌공사,대평,경기도 양평군 지평면,대평리 742,127-37-47,37-25-21 , , , , , , ,N,[]
120,1007655,환경부,여주시(양촌교),경기도 여주시,대신면 초현리 양촌교,127-33-46,37-22-57 ,30.136,3.5,4.5,5.5,7,6.96,N,[]
121,1007656,한국수자원공사,여주저류지,경기도 여주시 대신면,당남리 318,127-32-59,37-22-52 ,0, , , , , ,N,[]
122,1007660,환경부,여주시(이포대교),경기도 여주시,금사면 이포리 이포대교,127-32-15,37-24-04 ,26.105,3.5,6.5,8.5,10.3, ,N,[]
123,1007662,환경부,이포보(상류),경기도,여주시 금사면 이포리 이포대교,127-32-16,37-24-04 ,0,28.5,33,34.5,36.4,36.39,N,[]
124,1007664,환경부,이포보(하류),경기도,여주시 대신면 천서리 674,127-32-29,37-24-30 ,0, , , , ,36.09,N,[]
125,1007672,한국농어촌공사,금사,경기도 여주군 금사면,장흥리 40,127-29-20,37-23-19 , , , , , , ,N,[]
126,1007680,환경부,양평군(흑천교),경기도 양평군,개군면 공세리 흑천교,127-31-39,37-27-58 ,32.286,2,3,3.5,4.6,4.57,N,[]
127,1007685,환경부,양평군(양평교),경기도 양평군,양평읍 양근리 양평교,127-29-24,37-29-11 ,19.558,8.5,9,11,13.6,13.6,N,[]
128,1007690,환경부,양평군(봉상교),경기도 양평군,단월면 봉상리 봉상교,127-39-05,37-30-42 ,78.78,2,3,4,4.5,4.51,N,[]
129,1007697,환경부,양평군(신원리),경기도 양평군 양서면,신원리 462-2,127-22-17,37-31-30 ,24.29,3.3,4,5,6,6.02,N,[]
130,1009650,한국수자원공사,화천군(평화의댐),강원도 화천군,화천읍 동촌리 3061-3 평화의댐,127-50-40,38-12-37 , , , , , , ,N,[]
131,1009652,한국수자원공사,화천군(평화나래교),강원도 화천군,화천읍 동촌리 3061 평화나래교,127-50-58,38-12-29 , , , , , , ,N,[]
132,1010630,한국수력원자력,약수교,강원도 양구군,동면 후곡리,128-02-35,38-10-03 ,248.93, , , , , ,N,[]
134,1010635,한국수력원자력,하리교,강원도 양구군,양구읍 하리,127-59-03,38-06-28 , , , , , , ,N,[]
135,1010640,한국수자원공사,양구군(각시교),강원도 양구군,방산면 금악리 905 각시교,127-55-32,38-11-25 ,223.61, , , , , ,N,[]
136,1010642,한국수력원자력,남전교,강원도 양구군,방산면 오미리,127-54-05,38-10-59 , , , , , , ,N,[]
137,1010660,환경부,화천군(화천댐),강원도 화천군,간동면 구만리 화천댐,127-46-38,38-07-03 ,.268, , , , ,180.73,N,[]
138,1010661,한국수력원자력,화천댐,강원도 화천군,간동면 어룡동길 42,127-47-00,38-07-00 , , , , , , ,N,[]
139,1010670,한국수자원공사,화천군(오작교),강원도 화천군,화천읍 풍산리 산269 오작교,127-48-43,38-17-06 ,166.08, , , , , ,N,[]
140,1010675,환경부,화천,강원도 화천군 화천읍,하리 ,127-43-00,38-06-00 ,98.043, , , , , ,N,[]
141,1010677,한국수력원자력,용신교,강원도 화천군,화천읍 상리,127-42-16,38-06-32 , , , , , , ,N,[]
142,1010680,한국수자원공사,화천군(화천대교),강원도 화천군,하남면 위라리 525 화천대교,127-42-29,38-05-54 ,98.139, , , , , ,N,[]
143,1010684,한국수력원자력,오탄교,강원도 춘천시,사북면 지촌리,127-38-13,38-06-32 , , , , , , ,N,[]
144,1010688,한국수력원자력,춘천댐,강원도 춘천시,신북읍 영서로 3741,127-40-15,37-58-00 , , , , , , ,N,[]
145,1010690,환경부,춘천시(춘천댐),강원도 춘천시,신북읍 용산리 춘천댐,127-40-06,37-58-07 ,-.022, , , , ,104.92,N,[]
146,1010695,환경부,춘천시(춘천댐하류),강원도 춘천시,서면 서상리 산 2-2,127-40-33,37-57-34 ,71.811,5.5,6.5,8.5,10.7,10.71,N,[]
147,1011620,환경부,인제군(반월촌교),강원도 인제군 서화면,심적리 반월촌교,128-12-13,38-15-52 ,310.488,4,5,6,8.2,8.22,N,[]
148,1011650,한국수자원공사,인제군(어두원교),강원도 인제군,북면 원통리 235 어두원교,128-14-00,38-08-08 ,231.81, , , , , ,N,[]
149,1011690,한국수자원공사,인제군(원통리),강원도 인제군,북면 원통리 1798,128-12-34,38-07-15 ,218.337, , , , , ,N,[]
150,1011693,한국수자원공사,인제군(도리촌교),강원도 인제군,북면 월학리 1201 도리촌교,128-12-25,38-05-51 ,227.837, , , , , ,N,[]
151,1011695,환경부,인제군(리빙스턴교),강원도 인제군 인제읍,합강리 리빙스턴교,128-11-00,38-05-18 ,192.943,4.5,6.5,8,9.7,9.71,N,[]
152,1012630,환경부,인제군(왕성동교),강원도 인제군,상남면 미산리 왕성동교,128-19-22,37-52-19 ,373.813,4,5.5,6.5,9.5,9.48,N,[]
153,1012635,환경부,인제군(양지교),강원도 인제군 상남면,미산리 양지교,128-17-18,37-52-36 ,340.511,3.5,4.5,5.5,6.6,6.57,N,[]
154,1012640,환경부,인제군(현리교),강원도 인제군,기린면 현리 현리교,128-19-02,37-56-53 ,285.965,2.5,3.5,4,5.4,5.42,N,[]
155,1012645,환경부,인제군(하죽천교),강원도 인제군 기린면,서리 하죽천교,128-18-29,37-58-37 ,261.206,3.5,7.5,9,11.1,11.08,N,[]
156,1012650,한국수자원공사,인제군(원대교),강원도 인제군,인제읍 원대리 산75-10 원대교,128-14-27,38-00-29 ,230.334, , , , , ,N,[]
157,1012657,한국수자원공사,인제군(사구미교),강원도 인제군,인제읍 남북리 산 2-2 사구미교,128-10-04,38-03-21 ,182.33, , , , , ,N,[]
158,1012660,환경부,인제1,강원도 인제군 남면,남전리 ,128-08-00,38-01-00 ,142.736, , , , , ,N,[]
159,1012665,환경부,인제2,강원도 인제군 인제읍,남정리 ,128-09-00,38-02-00 , , , , , , ,N,[]
160,1012670,한국수자원공사,인제군(양구대교),강원도 인제군,남면 상수내리 산31-23 양구대교,128-03-23,37-59-40 , , , , , , ,N,[]
161,1012680,한국수자원공사,춘천시(소양강댐),강원도 춘천시,신북읍 천전리 산73-6 소양강댐,127-48-52,37-56-44 , , , , , , ,N,[]
162,1012682,한국수자원공사,춘천시(소양강댐방수로),강원도 춘천시,신북읍 천전리 1-4 소양강댐방수로,127-48-40,37-56-39 , , , , , , ,N,[]
163,1012685,환경부,춘천시(천전리),강원도 춘천시,신북읍 천전리61-20,127-47-23,37-55-49 ,76.049,2.5,4.5,6,7,7.03,N,[]
164,1012688,한국수자원공사,지내,강원도 춘천시,신북읍 천전리 1259-1 소양6교,127-46-44,37-55-33 , , , , , , ,N,[]
165,1012690,환경부,소양강,강원도 춘천시 신북읍,천전리,127-47-03,37-55-04 , , , , , , ,N,[]
166,1012695,환경부,춘천2,강원도 춘천시 근화동,소양로3가,127-43-29,37-53-25 , , , , , , ,N,[]
