rfobscd,agcnm,obsnm,addr,etcaddr,lon,lat,links,시도명,시군구명
10024120,환경부,평창군(유포리2),강원도 평창군,봉평면 금당계곡로 1761 (구)등매비룡수련원,128.39333333333332,37.55166666666666,[],강원도,평창군
10024130,환경부,평창군(도사리),강원도 평창군,용평면 도사리 332-1,128.43916666666667,37.61055555555556,[],강원도,평창군
10024140,환경부,평창군(고길리),강원도 평창군,평창읍 고길리 산1-2,128.4561111111111,37.40472222222222,[],강원도,평창군
10024150,환경부,평창군(신리),강원도 평창군,대화면 신리 597-8 송빈공원,128.45694444444445,37.53444444444444,[],강원도,평창군
10024160,환경부,평창군(이승복기념관),강원도 평창군,용평면 운두령로 500-11 이승복기념관,128.46277777777777,37.674166666666665,[],강원도,평창군
10024170,한국수자원공사,영월군(무릉리),강원도 영월군,수주면 무릉리 210,128.28916666666666,37.28527777777778,[],강원도,영월군
10024180,한국수자원공사,평창군(계촌리2),강원도 평창군,방림면 계촌리 582-1,128.29833333333332,37.44361111111111,[],강원도,평창군
10024190,한국수자원공사,평창군(원길리),강원도 평창군,봉평면 원길 2리 417-2 번지,128.35833333333332,37.62166666666667,[],강원도,평창군
10024200,한국수자원공사,평창군(후평리),강원도 평창군,평창읍 후평리 725,128.38916666666665,37.375,[],강원도,평창군
10024210,한국수자원공사,평창군(대화리),강원도 평창군,대화면 대화리 산70,128.45749999999998,37.49027777777778,[],강원도,평창군
10024220,한국수자원공사,영월군(북쌍리),강원도 영월군,남면 북상리 252-1,128.4113888888889,37.19138888888889,[],강원도,영월군
10024230,한국수자원공사,횡성군(부곡리),강원도 횡성군,안흥면 부곡2 793,128.08138888888888,37.32555555555556,[],강원도,횡성군
10024240,한국수자원공사,원주시(황둔리),강원도 원주시,신림면 황둔리 1558-8,128.1447222222222,37.24805555555556,[],강원도,원주시
10024250,한국수자원공사,횡성군(상안리),강원도 횡성군,안흥면 상안리 733-2,128.19194444444446,37.409166666666664,[],강원도,횡성군
10024260,한국수자원공사,영월군(연덕리),강원도 영월군,북면 연덕리 산222-1,128.42444444444445,37.27972222222222,[],강원도,영월군
10034050,환경부,단양군(영춘중교),충청북도 단양군,영춘면 온달평강로 105 영춘중학교,128.48416666666665,37.08222222222223,[],충청북도,단양군
10034060,환경부,제천시(덕주휴게소),충청북도 제천시,한수면 송계리 1149 덕주휴게소,128.08861111111113,36.86361111111111,[],충청북도,제천시
10034070,환경부,단양군(올산리),충청북도 단양군,대강면 올산리 159-2,128.37222222222223,36.84,[],충청북도,단양군
10034080,한국수자원공사,제천시(평동리),충청북도 제천시,백운면 평동리 229-1,128.02472222222224,37.13611111111111,[],충청북도,제천시
10034090,한국수자원공사,제천시(물태리),충청북도 제천시,청풍면 물태리 산 8-2,128.17249999999999,36.993611111111115,[],충청북도,제천시
